expense,category,amount,currency,date
bought perfume yesterday,Personal Care,1247,PKR,2026-05-13
booked bus ticket online,Travel,33529,PKR,2026-07-12
bought clothes today,Shopping,28546,PKR,2026-06-03
paid miscellaneous charges,Other,18277,PKR,2026-04-25
bought medicine,Healthcare,8742,PKR,2026-05-28
bought shirt,Shopping,18731,PKR,2026-03-07
bought vegetables,Food & Groceries,8392,PKR,2026-03-18
paid medical bill today,Healthcare,28025,PKR,2026-06-18
bought chicken this week,Food & Groceries,856,PKR,2026-05-13
paid exam fee today,Education,76137,PKR,2026-05-06
general expense for family,Other,11638,PKR,2026-06-05
bought perfume today,Personal Care,11471,PKR,2026-01-26
home repair,Home & Rent,63154,PKR,2026-01-10
bought shirt this week,Shopping,28352,PKR,2026-08-02
bought shirt for family,Shopping,18390,PKR,2026-02-25
bought train ticket this week,Travel,34683,PKR,2026-07-06
paid travel fare,Travel,145139,PKR,2026-03-07
bought educational material online,Education,21906,PKR,2026-04-13
paid credit card bill this week,Bills & Payments,89173,PKR,2026-04-19
paid miscellaneous charges for family,Other,6776,PKR,2026-01-19
bought cleaning supplies this week,Home & Rent,51496,PKR,2026-07-02
paid medical bill online,Healthcare,42752,PKR,2026-07-30
bought perfume today,Personal Care,7076,PKR,2026-07-30
paid rickshaw fare yesterday,Transportation,6308,PKR,2026-01-07
booked flight,Travel,71811,PKR,2026-02-01
haircut online,Personal Care,9184,PKR,2026-04-15
paid water bill online,Utilities,3415,PKR,2026-04-03
bought prescription medicine this week,Healthcare,9889,PKR,2026-08-11
bought handbag,Shopping,3509,PKR,2026-04-07
bought cosmetics,Shopping,25948,PKR,2026-02-01
booked ride for family,Transportation,13556,PKR,2026-07-26
paid credit card bill for family,Bills & Payments,46231,PKR,2026-06-29
travel expenses this week,Travel,145583,PKR,2026-03-11
booked hotel,Travel,45760,PKR,2026-03-23
bought movie ticket this week,Entertainment,13406,PKR,2026-07-09
home repair for family,Home & Rent,145617,PKR,2026-06-02
went to amusement park for family,Entertainment,2290,PKR,2026-03-08
bought milk online,Food & Groceries,2170,PKR,2026-02-06
bought concert ticket online,Entertainment,4580,PKR,2026-01-14
general expense online,Other,8262,PKR,2026-06-23
paid travel fare online,Travel,121006,PKR,2026-02-16
paid bank charges yesterday,Bills & Payments,66328,PKR,2026-03-15
bought educational material for family,Education,94670,PKR,2026-08-14
bought handbag online,Shopping,28412,PKR,2026-01-23
bought educational material this week,Education,12314,PKR,2026-06-12
paid electricity bill online,Utilities,8365,PKR,2026-01-24
filled petrol in car,Transportation,12280,PKR,2026-03-15
visited salon,Personal Care,7146,PKR,2026-06-23
bought personal care items today,Personal Care,8058,PKR,2026-05-08
bought personal care items online,Personal Care,14750,PKR,2026-05-17
miscellaneous expense yesterday,Other,555,PKR,2026-06-07
bought new shoes online,Shopping,14225,PKR,2026-06-29
bought personal care items this week,Personal Care,4201,PKR,2026-07-09
home repair for family,Home & Rent,12103,PKR,2026-06-05
paid loan installment online,Bills & Payments,69118,PKR,2026-08-20
bought shirt,Shopping,12327,PKR,2026-08-03
paid rickshaw fare,Transportation,7025,PKR,2026-05-07
bought movie ticket this week,Entertainment,2055,PKR,2026-03-28
paid apartment rent for family,Home & Rent,31897,PKR,2026-03-16
paid exam fee this week,Education,35201,PKR,2026-02-24
pizza for dinner today,Food & Groceries,5094,PKR,2026-06-14
haircut yesterday,Personal Care,14822,PKR,2026-06-08
paid credit card bill this week,Bills & Payments,1272,PKR,2026-06-07
paid bank charges this week,Bills & Payments,46885,PKR,2026-01-28
restaurant lunch online,Food & Groceries,3150,PKR,2026-04-13
bought medicine,Healthcare,28533,PKR,2026-05-06
bought clothes for family,Shopping,17153,PKR,2026-08-19
car maintenance,Transportation,8085,PKR,2026-01-02
booked ride today,Transportation,7811,PKR,2026-04-12
visited hospital this week,Healthcare,28371,PKR,2026-08-17
booked ride,Transportation,7285,PKR,2026-06-18
paid loan installment today,Bills & Payments,46865,PKR,2026-07-11
watched a movie this week,Entertainment,14676,PKR,2026-08-11
paid miscellaneous charges,Other,6311,PKR,2026-03-14
bought milk yesterday,Food & Groceries,6998,PKR,2026-07-10
bought medicine today,Healthcare,43960,PKR,2026-02-20
paid online bill this week,Bills & Payments,16070,PKR,2026-04-18
paid service fee yesterday,Bills & Payments,89856,PKR,2026-07-02
paid rickshaw fare yesterday,Transportation,8322,PKR,2026-07-05
other payment today,Other,3695,PKR,2026-01-28
bought milk today,Food & Groceries,5738,PKR,2026-05-09
bought chicken,Food & Groceries,11213,PKR,2026-08-01
bought vitamins for family,Healthcare,48628,PKR,2026-01-03
went to amusement park this week,Entertainment,4823,PKR,2026-05-05
paid internet bill today,Utilities,5496,PKR,2026-07-06
bought shampoo today,Personal Care,4806,PKR,2026-07-16
paid water bill online,Utilities,8605,PKR,2026-06-20
bought movie ticket yesterday,Entertainment,11774,PKR,2026-07-20
paid mobile bill online,Utilities,16960,PKR,2026-06-06
paid taxi fare for family,Transportation,10404,PKR,2026-06-12
paid taxi fare,Transportation,2267,PKR,2026-04-13
bought rice today,Food & Groceries,2495,PKR,2026-04-20
bought eggs,Food & Groceries,14261,PKR,2026-01-14
went to amusement park for family,Entertainment,5220,PKR,2026-06-29
paid apartment rent today,Home & Rent,89127,PKR,2026-04-20
paid credit card bill for family,Bills & Payments,56477,PKR,2026-06-14
bought flour,Food & Groceries,4511,PKR,2026-04-04
paid course fee online,Education,55297,PKR,2026-03-05
bought medicine today,Healthcare,2979,PKR,2026-01-01
restaurant dinner today,Food & Groceries,4774,PKR,2026-05-01
bought books yesterday,Education,24727,PKR,2026-03-06
paid bank charges this week,Bills & Payments,40392,PKR,2026-01-29
paid mobile bill,Utilities,18580,PKR,2026-07-17
paid rickshaw fare this week,Transportation,12245,PKR,2026-07-27
dental checkup for family,Healthcare,34959,PKR,2026-06-04
paid doctor fee online,Healthcare,18384,PKR,2026-02-23
paid travel fare,Travel,28883,PKR,2026-02-03
bought cleaning supplies for family,Home & Rent,32550,PKR,2026-01-11
paid hotel bill today,Travel,51574,PKR,2026-06-30
paid credit card bill,Bills & Payments,72141,PKR,2026-06-08
visited hospital online,Healthcare,31377,PKR,2026-07-14
bought household items online,Shopping,5335,PKR,2026-01-12
paid taxi fare yesterday,Transportation,9119,PKR,2026-07-02
paid course fee this week,Education,59283,PKR,2026-06-11
miscellaneous expense yesterday,Other,2318,PKR,2026-05-04
bought concert ticket for family,Entertainment,13157,PKR,2026-01-06
booked ride online,Transportation,2212,PKR,2026-03-16
grocery shopping online,Food & Groceries,3216,PKR,2026-07-09
went to amusement park online,Entertainment,8923,PKR,2026-08-11
haircut today,Personal Care,7372,PKR,2026-07-12
visited salon for family,Personal Care,12969,PKR,2026-04-10
bought concert ticket this week,Entertainment,3590,PKR,2026-02-17
bought bread for family,Food & Groceries,3668,PKR,2026-06-01
miscellaneous expense for family,Other,15023,PKR,2026-05-09
miscellaneous purchase this week,Other,10042,PKR,2026-08-07
bought handbag online,Shopping,9098,PKR,2026-05-22
paid gas bill today,Utilities,1994,PKR,2026-05-17
bought handbag,Shopping,21258,PKR,2026-02-07
bought stationery this week,Education,7252,PKR,2026-06-14
bought trousers for family,Shopping,4107,PKR,2026-01-01
bought furniture online,Home & Rent,97760,PKR,2026-03-25
paid mobile bill for family,Utilities,9152,PKR,2026-07-04
car maintenance for family,Transportation,4931,PKR,2026-03-25
bought groceries this week,Food & Groceries,3692,PKR,2026-07-07
bought stationery this week,Education,2549,PKR,2026-05-18
home repair for family,Home & Rent,28903,PKR,2026-07-04
other payment online,Other,8532,PKR,2026-08-11
bought cleaning supplies for family,Home & Rent,145409,PKR,2026-02-22
paid loan installment this week,Bills & Payments,35731,PKR,2026-02-22
paid hotel bill yesterday,Travel,41800,PKR,2026-04-25
bought cosmetics this week,Shopping,5160,PKR,2026-08-19
paid credit card bill yesterday,Bills & Payments,24291,PKR,2026-04-28
paid bus fare today,Transportation,9433,PKR,2026-05-06
paid miscellaneous charges online,Other,9342,PKR,2026-01-06
bought stationery today,Education,52168,PKR,2026-06-25
booked flight,Travel,38623,PKR,2026-01-19
bought movie ticket yesterday,Entertainment,10769,PKR,2026-04-14
paid mobile bill for family,Utilities,4998,PKR,2026-07-06
bought fruits yesterday,Food & Groceries,6391,PKR,2026-01-06
paid electricity bill online,Utilities,1933,PKR,2026-02-03
bought clothes this week,Shopping,4973,PKR,2026-06-10
booked hotel,Travel,28876,PKR,2026-05-19
general expense online,Other,2884,PKR,2026-02-21
changed car oil for family,Transportation,14720,PKR,2026-04-24
booked ride this week,Transportation,7946,PKR,2026-02-09
bought new shoes for family,Shopping,22976,PKR,2026-03-10
paid maintenance charges,Home & Rent,6559,PKR,2026-07-31
bought fruits for family,Food & Groceries,4961,PKR,2026-01-27
visited salon today,Personal Care,219,PKR,2026-02-27
bought chicken yesterday,Food & Groceries,6414,PKR,2026-02-07
dental checkup this week,Healthcare,15103,PKR,2026-08-14
bought home appliances online,Home & Rent,30467,PKR,2026-05-06
filled fuel today,Transportation,1766,PKR,2026-03-14
bought medicine for family,Healthcare,22170,PKR,2026-01-31
bought medicine,Healthcare,39916,PKR,2026-02-08
car maintenance for family,Transportation,5586,PKR,2026-06-03
car maintenance today,Transportation,14732,PKR,2026-06-20
bought furniture for family,Home & Rent,76236,PKR,2026-03-31
paid water bill yesterday,Utilities,12595,PKR,2026-03-09
miscellaneous expense,Other,4970,PKR,2026-07-19
paid apartment rent this week,Home & Rent,39739,PKR,2026-04-10
paid online bill yesterday,Bills & Payments,9322,PKR,2026-01-29
paid travel fare online,Travel,74000,PKR,2026-02-07
paid water bill today,Utilities,6459,PKR,2026-07-16
paid streaming subscription this week,Entertainment,8297,PKR,2026-04-19
paid online bill yesterday,Bills & Payments,79371,PKR,2026-07-23
bought furniture today,Home & Rent,65463,PKR,2026-04-09
bought concert ticket yesterday,Entertainment,9026,PKR,2026-05-17
paid service fee for family,Bills & Payments,30661,PKR,2026-04-09
paid utility bill online,Utilities,14322,PKR,2026-05-15
travel expenses online,Travel,58497,PKR,2026-06-29
paid gas bill this week,Utilities,593,PKR,2026-02-22
restaurant lunch for family,Food & Groceries,7864,PKR,2026-02-04
paid electricity bill this week,Utilities,12324,PKR,2026-08-06
booked ride yesterday,Transportation,2461,PKR,2026-08-02
visited salon today,Personal Care,3652,PKR,2026-07-31
bought new shoes online,Shopping,4815,PKR,2026-01-31
paid miscellaneous charges yesterday,Other,963,PKR,2026-06-28
paid streaming subscription,Entertainment,11691,PKR,2026-01-28
paid maintenance charges,Home & Rent,125997,PKR,2026-08-03
travel expenses today,Travel,8913,PKR,2026-02-07
paid doctor fee,Healthcare,16359,PKR,2026-01-20
ordered food today,Food & Groceries,12640,PKR,2026-02-16
paid online bill today,Bills & Payments,98555,PKR,2026-05-16
general expense yesterday,Other,13584,PKR,2026-07-04
bought vitamins online,Healthcare,45863,PKR,2026-01-04
bought books today,Education,8364,PKR,2026-08-14
paid house rent for family,Home & Rent,46503,PKR,2026-05-09
filled petrol in car yesterday,Transportation,13742,PKR,2026-04-19
bought home appliances for family,Home & Rent,68647,PKR,2026-05-27
bought skincare products online,Personal Care,3924,PKR,2026-04-19
booked ride,Transportation,8644,PKR,2026-04-07
paid taxi fare yesterday,Transportation,10242,PKR,2026-01-15
bought cosmetics today,Shopping,27251,PKR,2026-07-10
bought perfume,Personal Care,13578,PKR,2026-06-27
paid monthly bill this week,Bills & Payments,86050,PKR,2026-06-14
paid gaming subscription yesterday,Entertainment,2900,PKR,2026-01-14
dental checkup yesterday,Healthcare,13061,PKR,2026-03-11
paid electricity bill,Utilities,12385,PKR,2026-06-04
bought medicine today,Healthcare,18794,PKR,2026-02-11
haircut,Personal Care,3671,PKR,2026-06-02
bought flour today,Food & Groceries,9138,PKR,2026-02-21
paid house rent today,Home & Rent,71560,PKR,2026-01-22
booked bus ticket,Travel,148780,PKR,2026-07-22
paid credit card bill,Bills & Payments,41732,PKR,2026-01-24
paid university fee this week,Education,99024,PKR,2026-03-14
bought concert ticket today,Entertainment,5352,PKR,2026-07-12
played games this week,Entertainment,2322,PKR,2026-06-29
paid house rent this week,Home & Rent,107767,PKR,2026-08-18
miscellaneous purchase,Other,16555,PKR,2026-07-26
filled petrol in car for family,Transportation,13142,PKR,2026-04-08
paid service fee,Bills & Payments,38526,PKR,2026-02-11
changed car oil,Transportation,14603,PKR,2026-06-10
paid mobile bill today,Utilities,7566,PKR,2026-07-26
bought cleaning supplies today,Home & Rent,43217,PKR,2026-05-09
bought personal care items for family,Personal Care,10872,PKR,2026-05-14
bought vitamins today,Healthcare,22518,PKR,2026-03-16
paid medical bill yesterday,Healthcare,2922,PKR,2026-08-17
other payment today,Other,6942,PKR,2026-06-06
booked hotel today,Travel,149609,PKR,2026-06-10
paid credit card bill,Bills & Payments,19193,PKR,2026-07-16
bought books yesterday,Education,12835,PKR,2026-04-27
paid doctor fee this week,Healthcare,10882,PKR,2026-01-18
paid course fee this week,Education,12195,PKR,2026-01-19
changed car oil this week,Transportation,7853,PKR,2026-03-07
paid online bill today,Bills & Payments,16748,PKR,2026-05-26
paid credit card bill this week,Bills & Payments,38068,PKR,2026-04-13
paid gaming subscription for family,Entertainment,11350,PKR,2026-02-03
paid bank charges for family,Bills & Payments,82371,PKR,2026-03-22
bought medicine online,Healthcare,27379,PKR,2026-05-10
paid bank charges online,Bills & Payments,6093,PKR,2026-06-08
paid house rent online,Home & Rent,65177,PKR,2026-06-29
haircut today,Personal Care,14176,PKR,2026-01-27
bought educational material today,Education,75228,PKR,2026-04-13
paid gas bill yesterday,Utilities,15647,PKR,2026-06-21
paid water bill yesterday,Utilities,15851,PKR,2026-06-14
visited salon,Personal Care,1606,PKR,2026-02-16
miscellaneous expense yesterday,Other,14292,PKR,2026-02-21
paid streaming subscription,Entertainment,5398,PKR,2026-03-29
paid travel fare today,Travel,125838,PKR,2026-01-30
paid exam fee,Education,71944,PKR,2026-02-09
paid loan installment online,Bills & Payments,28479,PKR,2026-03-23
booked hotel for family,Travel,100689,PKR,2026-01-16
bought prescription medicine yesterday,Healthcare,31325,PKR,2026-02-24
bought eggs,Food & Groceries,12529,PKR,2026-06-25
paid streaming subscription this week,Entertainment,10615,PKR,2026-02-15
paid gas bill,Utilities,9475,PKR,2026-04-14
paid water bill online,Utilities,15292,PKR,2026-08-12
bought concert ticket today,Entertainment,11171,PKR,2026-08-17
bought stationery,Education,12616,PKR,2026-08-18
paid streaming subscription this week,Entertainment,2895,PKR,2026-02-20
bought vitamins yesterday,Healthcare,31462,PKR,2026-05-18
paid miscellaneous charges online,Other,14412,PKR,2026-04-01
miscellaneous purchase yesterday,Other,425,PKR,2026-05-24
booked flight,Travel,38910,PKR,2026-03-24
home repair online,Home & Rent,83972,PKR,2026-01-04
changed car oil today,Transportation,8282,PKR,2026-08-10
bought medicine online,Healthcare,26932,PKR,2026-03-09
bought personal care items,Personal Care,7581,PKR,2026-08-02
changed car oil online,Transportation,9576,PKR,2026-01-25
bought eggs online,Food & Groceries,3174,PKR,2026-04-18
miscellaneous purchase today,Other,19791,PKR,2026-04-07
bought watch today,Shopping,6563,PKR,2026-06-23
booked hotel this week,Travel,96366,PKR,2026-01-05
bought notebooks for family,Education,16850,PKR,2026-06-29
paid online bill yesterday,Bills & Payments,54770,PKR,2026-04-16
visited hospital for family,Healthcare,28208,PKR,2026-05-14
bought medicine today,Healthcare,30369,PKR,2026-04-20
paid doctor fee for family,Healthcare,39286,PKR,2026-02-11
visited salon yesterday,Personal Care,4869,PKR,2026-08-05
bought cleaning supplies online,Home & Rent,115686,PKR,2026-06-12
bought books,Education,14106,PKR,2026-01-23
paid house rent for family,Home & Rent,108814,PKR,2026-01-27
paid online bill for family,Bills & Payments,71899,PKR,2026-01-26
bought home appliances for family,Home & Rent,9555,PKR,2026-06-20
bought educational material today,Education,29713,PKR,2026-07-18
paid service fee yesterday,Bills & Payments,15507,PKR,2026-02-20
paid credit card bill this week,Bills & Payments,61310,PKR,2026-04-16
bought cleaning supplies online,Home & Rent,104758,PKR,2026-01-02
bought prescription medicine today,Healthcare,33563,PKR,2026-03-14
bought notebooks this week,Education,54857,PKR,2026-06-22
bought new shoes yesterday,Shopping,1370,PKR,2026-01-04
bought milk this week,Food & Groceries,13875,PKR,2026-07-29
bought personal care items for family,Personal Care,5401,PKR,2026-03-27
car maintenance today,Transportation,9205,PKR,2026-04-11
online shopping online,Shopping,13188,PKR,2026-08-01
ordered food today,Food & Groceries,10524,PKR,2026-04-10
paid miscellaneous charges yesterday,Other,10524,PKR,2026-05-13
car maintenance today,Transportation,1731,PKR,2026-07-01
filled fuel online,Transportation,9552,PKR,2026-07-20
paid gaming subscription online,Entertainment,4463,PKR,2026-08-03
bought shampoo this week,Personal Care,3538,PKR,2026-01-24
paid electricity bill yesterday,Utilities,878,PKR,2026-06-10
booked flight,Travel,143520,PKR,2026-01-21
paid travel fare,Travel,35222,PKR,2026-04-27
bought cleaning supplies this week,Home & Rent,49904,PKR,2026-03-03
paid apartment rent this week,Home & Rent,51811,PKR,2026-05-18
bought cosmetics this week,Shopping,21902,PKR,2026-01-14
bought books today,Education,82739,PKR,2026-01-06
paid maintenance charges,Home & Rent,30080,PKR,2026-04-28
booked hotel,Travel,38181,PKR,2026-03-14
bought stationery,Education,10642,PKR,2026-05-07
bought prescription medicine today,Healthcare,25911,PKR,2026-01-26
paid credit card bill yesterday,Bills & Payments,10143,PKR,2026-05-05
paid house rent today,Home & Rent,111076,PKR,2026-04-07
dental checkup yesterday,Healthcare,10858,PKR,2026-02-16
paid university fee today,Education,86963,PKR,2026-05-26
paid maintenance charges,Home & Rent,31725,PKR,2026-03-29
bought vitamins for family,Healthcare,39621,PKR,2026-05-20
bought bread for family,Food & Groceries,12251,PKR,2026-03-07
paid gas bill for family,Utilities,1468,PKR,2026-05-18
bought milk today,Food & Groceries,14302,PKR,2026-04-04
paid gas bill,Utilities,11232,PKR,2026-02-05
bought clothes online,Shopping,22962,PKR,2026-02-02
bought notebooks yesterday,Education,26614,PKR,2026-01-24
dental checkup for family,Healthcare,43024,PKR,2026-03-17
paid online bill yesterday,Bills & Payments,57655,PKR,2026-05-12
bought movie ticket this week,Entertainment,3033,PKR,2026-02-20
home repair online,Home & Rent,74684,PKR,2026-04-11
paid utility bill for family,Utilities,10710,PKR,2026-02-12
bought accessories yesterday,Shopping,29229,PKR,2026-04-25
bought concert ticket online,Entertainment,4651,PKR,2026-07-28
paid medical bill,Healthcare,40099,PKR,2026-04-09
bought movie ticket for family,Entertainment,5982,PKR,2026-04-06
home repair,Home & Rent,118808,PKR,2026-02-12
bought rice for family,Food & Groceries,6814,PKR,2026-03-17
travel expenses online,Travel,140066,PKR,2026-04-01
watched a movie,Entertainment,3147,PKR,2026-07-27
bought vitamins today,Healthcare,23745,PKR,2026-03-04
paid gas bill online,Utilities,12678,PKR,2026-04-06
paid rickshaw fare,Transportation,257,PKR,2026-03-23
miscellaneous expense online,Other,10876,PKR,2026-02-24
paid service fee this week,Bills & Payments,30993,PKR,2026-05-24
paid internet bill this week,Utilities,7452,PKR,2026-05-15
bought clothes for family,Shopping,9411,PKR,2026-07-03
travel expenses online,Travel,20614,PKR,2026-05-27
bought home appliances online,Home & Rent,115086,PKR,2026-03-23
paid doctor fee today,Healthcare,3554,PKR,2026-07-25
paid monthly bill,Bills & Payments,36468,PKR,2026-04-18
paid electricity bill yesterday,Utilities,6107,PKR,2026-06-03
paid medical bill yesterday,Healthcare,15794,PKR,2026-05-28
bought flour,Food & Groceries,10645,PKR,2026-07-20
booked hotel yesterday,Travel,75544,PKR,2026-02-03
watched a movie for family,Entertainment,8842,PKR,2026-01-11
dental checkup,Healthcare,4851,PKR,2026-05-01
paid internet bill online,Utilities,10363,PKR,2026-03-12
bought prescription medicine this week,Healthcare,26536,PKR,2026-01-21
bought skincare products yesterday,Personal Care,10232,PKR,2026-01-13
paid streaming subscription online,Entertainment,7647,PKR,2026-05-07
paid house rent this week,Home & Rent,27933,PKR,2026-01-08
bought new shoes,Shopping,4846,PKR,2026-01-27
bought prescription medicine online,Healthcare,47764,PKR,2026-04-22
bought shirt,Shopping,6563,PKR,2026-07-05
bought prescription medicine for family,Healthcare,623,PKR,2026-06-26
bought rice,Food & Groceries,1915,PKR,2026-01-13
bought books this week,Education,43665,PKR,2026-06-26
travel expenses yesterday,Travel,71755,PKR,2026-06-28
paid bus fare for family,Transportation,7648,PKR,2026-01-31
paid rickshaw fare today,Transportation,12437,PKR,2026-05-30
played games yesterday,Entertainment,11148,PKR,2026-02-01
bought perfume today,Personal Care,9668,PKR,2026-05-03
bought home appliances this week,Home & Rent,85387,PKR,2026-07-17
other payment today,Other,3108,PKR,2026-03-09
bought books this week,Education,73705,PKR,2026-08-02
bought trousers online,Shopping,2856,PKR,2026-01-20
paid credit card bill today,Bills & Payments,2220,PKR,2026-06-21
bought accessories yesterday,Shopping,6457,PKR,2026-05-05
paid water bill today,Utilities,19850,PKR,2026-07-14
bought perfume this week,Personal Care,12659,PKR,2026-03-21
other payment online,Other,5146,PKR,2026-08-06
haircut today,Personal Care,3784,PKR,2026-04-04
went to amusement park for family,Entertainment,8612,PKR,2026-02-21
bought movie ticket,Entertainment,4752,PKR,2026-04-19
booked ride for family,Transportation,10723,PKR,2026-01-27
changed car oil,Transportation,12306,PKR,2026-01-29
bought new shoes yesterday,Shopping,6428,PKR,2026-03-10
bought cooking oil online,Food & Groceries,8798,PKR,2026-04-26
visited hospital,Healthcare,36364,PKR,2026-01-22
bought vitamins today,Healthcare,10171,PKR,2026-04-12
visited salon for family,Personal Care,5667,PKR,2026-01-14
paid bank charges this week,Bills & Payments,13320,PKR,2026-01-13
bought home appliances online,Home & Rent,111779,PKR,2026-02-19
paid school fee yesterday,Education,23653,PKR,2026-06-02
paid exam fee for family,Education,57328,PKR,2026-01-28
paid house rent online,Home & Rent,66259,PKR,2026-01-29
bought clothes,Shopping,29629,PKR,2026-01-10
bought train ticket today,Travel,18261,PKR,2026-05-17
paid water bill today,Utilities,13756,PKR,2026-04-11
watched a movie today,Entertainment,12224,PKR,2026-07-30
general expense yesterday,Other,6840,PKR,2026-02-13
bought watch online,Shopping,9736,PKR,2026-06-30
bought train ticket online,Travel,1814,PKR,2026-01-25
changed car oil online,Transportation,5102,PKR,2026-08-07
paid miscellaneous charges today,Other,10425,PKR,2026-06-24
paid gas bill today,Utilities,11384,PKR,2026-08-19
paid loan installment,Bills & Payments,87798,PKR,2026-05-02
paid streaming subscription,Entertainment,3108,PKR,2026-03-09
paid gas bill online,Utilities,818,PKR,2026-06-02
bought vitamins for family,Healthcare,365,PKR,2026-05-06
bought accessories,Shopping,1780,PKR,2026-07-29
bought flour today,Food & Groceries,8706,PKR,2026-05-09
paid bus fare,Transportation,1738,PKR,2026-03-19
general expense yesterday,Other,16178,PKR,2026-07-08
paid medical bill this week,Healthcare,43777,PKR,2026-05-05
paid course fee yesterday,Education,2277,PKR,2026-07-31
visited hospital online,Healthcare,22171,PKR,2026-08-17
bought personal care items for family,Personal Care,8135,PKR,2026-01-29
paid university fee today,Education,54281,PKR,2026-08-08
bought shirt this week,Shopping,16612,PKR,2026-01-08
online shopping online,Shopping,23100,PKR,2026-04-21
paid doctor fee online,Healthcare,6150,PKR,2026-02-19
played games,Entertainment,4687,PKR,2026-08-13
bought cleaning supplies for family,Home & Rent,118773,PKR,2026-08-13
bought shampoo this week,Personal Care,11325,PKR,2026-03-31
bought vitamins for family,Healthcare,27647,PKR,2026-03-12
paid school fee,Education,76458,PKR,2026-05-14
general expense for family,Other,4129,PKR,2026-04-21
paid service fee this week,Bills & Payments,38302,PKR,2026-01-29
bought cooking oil online,Food & Groceries,2510,PKR,2026-04-30
paid apartment rent for family,Home & Rent,76964,PKR,2026-06-09
bought personal care items today,Personal Care,5174,PKR,2026-05-05
bought books this week,Education,2543,PKR,2026-04-27
bought eggs this week,Food & Groceries,13624,PKR,2026-06-01
paid electricity bill yesterday,Utilities,10521,PKR,2026-01-02
paid streaming subscription online,Entertainment,13866,PKR,2026-01-01
bought rice today,Food & Groceries,5837,PKR,2026-08-13
bought stationery,Education,93980,PKR,2026-03-11
paid taxi fare yesterday,Transportation,9688,PKR,2026-01-21
paid school fee,Education,62520,PKR,2026-04-01
bought cosmetics yesterday,Shopping,13378,PKR,2026-08-20
paid water bill this week,Utilities,10682,PKR,2026-02-14
paid travel fare online,Travel,85536,PKR,2026-07-25
booked flight online,Travel,53299,PKR,2026-03-06
car maintenance for family,Transportation,3368,PKR,2026-03-19
bought books this week,Education,74773,PKR,2026-06-10
paid service fee today,Bills & Payments,49778,PKR,2026-07-20
watched a movie today,Entertainment,8827,PKR,2026-04-24
general expense for family,Other,11816,PKR,2026-04-30
bought vitamins yesterday,Healthcare,27858,PKR,2026-04-16
paid credit card bill for family,Bills & Payments,3963,PKR,2026-07-16
watched a movie today,Entertainment,10279,PKR,2026-03-19
online shopping for family,Shopping,12526,PKR,2026-02-02
booked bus ticket for family,Travel,77898,PKR,2026-01-14
bought movie ticket yesterday,Entertainment,11178,PKR,2026-01-02
paid service fee yesterday,Bills & Payments,7623,PKR,2026-01-22
bought rice online,Food & Groceries,1853,PKR,2026-03-27
booked hotel this week,Travel,149227,PKR,2026-05-04
general expense,Other,4079,PKR,2026-07-09
paid hotel bill for family,Travel,14898,PKR,2026-06-29
bought household items today,Shopping,18717,PKR,2026-07-09
paid loan installment today,Bills & Payments,89062,PKR,2026-06-13
booked ride online,Transportation,5193,PKR,2026-07-04
bought cooking oil for family,Food & Groceries,11368,PKR,2026-02-21
paid electricity bill,Utilities,5514,PKR,2026-06-04
paid utility bill,Utilities,8600,PKR,2026-02-22
paid internet bill,Utilities,17074,PKR,2026-04-24
watched a movie,Entertainment,5113,PKR,2026-04-14
paid loan installment today,Bills & Payments,72159,PKR,2026-03-08
paid hotel bill yesterday,Travel,33295,PKR,2026-04-21
filled petrol in car today,Transportation,2421,PKR,2026-07-29
paid miscellaneous charges today,Other,16861,PKR,2026-07-09
miscellaneous purchase today,Other,15702,PKR,2026-05-03
bought notebooks online,Education,13609,PKR,2026-05-31
paid bank charges online,Bills & Payments,36568,PKR,2026-04-11
played games,Entertainment,7801,PKR,2026-04-17
bought movie ticket,Entertainment,4843,PKR,2026-04-28
paid utility bill yesterday,Utilities,861,PKR,2026-05-29
paid university fee online,Education,85752,PKR,2026-08-17
paid maintenance charges yesterday,Home & Rent,12175,PKR,2026-04-01
changed car oil online,Transportation,7609,PKR,2026-03-12
bought bread this week,Food & Groceries,8302,PKR,2026-08-08
bought shampoo this week,Personal Care,14987,PKR,2026-06-30
visited salon for family,Personal Care,1228,PKR,2026-02-14
paid apartment rent this week,Home & Rent,148625,PKR,2026-03-28
paid online bill today,Bills & Payments,36982,PKR,2026-07-20
bought furniture yesterday,Home & Rent,18880,PKR,2026-08-03
bought home appliances yesterday,Home & Rent,124667,PKR,2026-06-05
paid apartment rent for family,Home & Rent,133901,PKR,2026-07-18
paid maintenance charges this week,Home & Rent,34927,PKR,2026-06-28
paid medical bill for family,Healthcare,23112,PKR,2026-05-30
travel expenses yesterday,Travel,18713,PKR,2026-01-12
bought bread today,Food & Groceries,1681,PKR,2026-06-20
paid internet bill online,Utilities,16111,PKR,2026-03-24
bought trousers,Shopping,29784,PKR,2026-08-14
car maintenance yesterday,Transportation,1154,PKR,2026-01-16
bought train ticket,Travel,10808,PKR,2026-08-05
miscellaneous expense yesterday,Other,12365,PKR,2026-06-05
home repair,Home & Rent,46630,PKR,2026-03-24
paid mobile bill yesterday,Utilities,12874,PKR,2026-02-04
paid maintenance charges for family,Home & Rent,53359,PKR,2026-02-20
